strategy,day,value
Q-Learning,183,12781.869430542003
Q-Learning,184,12813.455688476573
Q-Learning,185,12683.456146240245
Q-Learning,186,12736.456024169933
Q-Learning,187,12822.201263427742
Q-Learning,188,12790.454589843757
Q-Learning,189,12790.454589843757
Q-Learning,190,12823.01477050782
Q-Learning,191,12950.294860839851
Q-Learning,192,13043.535018920906
Q-Learning,193,12622.844635009773
Q-Learning,194,12947.324325561533
Q-Learning,195,12695.936523437511
Q-Learning,196,12683.497055053722
Q-Learning,197,12648.917678833019
Q-Learning,198,12752.416076660167
Q-Learning,199,12779.197586059581
Q-Learning,200,12947.55162048341
Q-Learning,201,12796.591552734386
Q-Learning,202,12959.766311645519
Q-Learning,203,13177.695022583019
Q-Learning,204,13410.550979614272
Q-Learning,205,13733.384826660167
Q-Learning,206,13922.468399047862
Q-Learning,207,13593.244140625015
Q-Learning,208,14373.565460205089
Q-Learning,209,14727.803207397472
Q-Learning,210,14560.504974365245
Q-Learning,211,14495.514739990245
Q-Learning,212,14052.73326110841
Q-Learning,213,14088.733322143564
Q-Learning,214,14330.167526245128
Q-Learning,215,14350.178619384775
Q-Learning,216,14177.197479248058
Q-Learning,217,13758.776290893566
Q-Learning,218,13694.871719360362
Q-Learning,219,13538.29118347169
Q-Learning,220,13086.4326324463
Q-Learning,221,13217.238220214855
Q-Learning,222,13002.056610107433
Q-Learning,223,13131.646926879894
Q-Learning,224,13405.556747436534
Q-Learning,225,13571.666717529308
Q-Learning,226,13546.676986694343
Q-Learning,227,13706.50114440919
Q-Learning,228,13773.877639770519
Q-Learning,229,13818.815216064464
Q-Learning,230,13696.4179840088
Q-Learning,231,13581.785430908216
Q-Learning,232,13590.725875854503
Q-Learning,233,13602.72184753419
Q-Learning,234,13606.562850952156
Q-Learning,235,13656.364974975593
Q-Learning,236,13589.016586303718
Q-Learning,237,13323.600418090828
Q-Learning,238,13158.719177246101
Q-Learning,239,13175.428634643558
Q-Learning,240,13037.643005371101
Q-Learning,241,13282.119888305671
Q-Learning,242,13399.537796020515
Q-Learning,243,13532.487243652351
Q-Learning,244,13670.48010253907
Q-Learning,245,13640.481323242195
Q-Learning,246,13736.47589111329
Q-Learning,247,13620.982116699222
Q-Learning,248,13603.983062744146
Q-Learning,249,13551.986450195318
Q-Learning,250,13551.986450195318
Buy-and-Hold,0,10000.0
Buy-and-Hold,1,10141.777038574219
Buy-and-Hold,2,10306.475830078125
Buy-and-Hold,3,10004.994583129883
Buy-and-Hold,4,10016.417694091797
Buy-and-Hold,5,9766.130828857422
Buy-and-Hold,6,9638.291549682617
Buy-and-Hold,7,9573.730850219727
Buy-and-Hold,8,9799.716186523438
Buy-and-Hold,9,9494.263458251953
Buy-and-Hold,10,9640.45639038086
Buy-and-Hold,11,9536.095809936523
Buy-and-Hold,12,9721.606445312498
Buy-and-Hold,13,9721.131896972656
Buy-and-Hold,14,9584.308242797852
Buy-and-Hold,15,9155.38330078125
Buy-and-Hold,16,9364.049911499022
Buy-and-Hold,17,9391.375350952148
Buy-and-Hold,18,9347.406387329102
Buy-and-Hold,19,9307.90901184082
Buy-and-Hold,20,9109.426498413086
Buy-and-Hold,21,9228.416442871094
Buy-and-Hold,22,9220.218658447266
Buy-and-Hold,23,9238.849639892578
Buy-and-Hold,24,9099.98779296875
